genero,desigualdad,pais
hombre,17.64315465,Afghanistan
hombre,10.78464019,Albania
hombre,14.16615907,Algeria
hombre,10.67915676,American Samoa
hombre,11.94429627,Andean Latin America
hombre,13.65668976,Andorra
hombre,12.53583254,Angola
hombre,12.94355993,Antigua and Barbuda
hombre,13.58340912,Argentina
hombre,10.67292031,Armenia
hombre,17.54027562,Australasia
hombre,17.59302516,Australia
hombre,13.19090206,Austria
hombre,10.40773963,Azerbaijan
hombre,13.13566488,Bahamas
hombre,14.1778888,Bahrain
hombre,12.1364204,Bangladesh
hombre,13.41341347,Barbados
hombre,12.06218487,Belarus
hombre,14.29903203,Belgium
hombre,13.33888899,Belize
hombre,11.86627644,Benin
hombre,13.54854175,Bermuda
hombre,11.74586358,Bhutan
hombre,12.22245654,Bolivia
hombre,11.15789943,Bosnia and Herzegovina
hombre,12.9002993,Botswana
hombre,13.21851336,Brazil
hombre,11.10931715,Brunei
hombre,11.11931489,Bulgaria
hombre,12.07439374,Burkina Faso
hombre,12.77626306,Burundi
hombre,11.93334797,Cambodia
hombre,11.7740496,Cameroon
hombre,14.98020544,Canada
hombre,12.62831289,Cape Verde
hombre,13.51391402,Caribbean
hombre,12.8274934,Central African Republic
hombre,10.87125026,Central Asia
hombre,11.05391482,Central Europe
hombre,11.40582664,"Central Europe, Eastern Europe, and Central Asia"
hombre,10.42547128,Central Latin America
hombre,12.6715981,Central Sub-Saharan Africa
hombre,12.1417892,Chad
hombre,13.93389348,Chile
hombre,11.39809419,China
hombre,10.38346378,Colombia
hombre,11.79718988,Comoros
hombre,12.39374121,Congo
hombre,10.86945598,Costa Rica
hombre,11.55230072,Cote d'Ivoire
hombre,11.47126762,Croatia
hombre,14.05749924,Cuba
hombre,13.15348291,Cyprus
hombre,11.29759684,Czech Republic
hombre,12.72578503,Democratic Republic of Congo
hombre,13.54092309,Denmark
hombre,12.1204973,Djibouti
hombre,13.12208122,Dominica
hombre,13.20532976,Dominican Republic
hombre,11.40677642,East Asia
hombre,11.81580312,Eastern Europe
hombre,12.50019154,Eastern Sub-Saharan Africa
hombre,12.25295339,Ecuador
hombre,14.48854777,Egypt
hombre,10.7326214,El Salvador
hombre,14.04600946,England
hombre,12.51992968,Equatorial Guinea
hombre,12.46257293,Eritrea
